"*Master* - Odessa > 177 > Power End > Hole 5 > Damage Accumulation",,,,,"*Master* - Odessa > 319 > Power End > Hole 1 > Damage Accumulation",,,,,
Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,
,,,,,10/15/2018 8:50:27 PM,0.002514,0.002514,0.002514,,
,,,,,10/15/2018 8:51:08 PM,0.0025399,0.0025399,0.0025399,,
,,,,,10/15/2018 8:53:09 PM,0.0022768,0.0022768,0.0022768,,
,,,,,10/15/2018 8:54:09 PM,0.5642996,0.5642996,0.5642996,,
,,,,,10/15/2018 8:55:10 PM,0.3821728,0.3821728,0.3821728,,
,,,,,10/15/2018 8:56:11 PM,0.4256345,0.4256345,0.4256345,,
,,,,,10/15/2018 8:57:11 PM,0.8763282,0.8763282,0.8763282,,
,,,,,10/15/2018 8:58:12 PM,1.1000293,1.1000293,1.1000293,,
,,,,,10/15/2018 8:59:12 PM,0.4777222,0.4777222,0.4777222,,
,,,,,10/15/2018 9:01:13 PM,0.6625957,0.6625957,0.6625957,,
,,,,,10/15/2018 9:02:14 PM,0.6807021,0.6807021,0.6807021,,
,,,,,10/15/2018 9:03:16 PM,0.7027824,0.7027824,0.7027824,,
,,,,,10/15/2018 9:04:15 PM,0.7258978,0.7258978,0.7258978,,
,,,,,10/15/2018 9:05:16 PM,1.1298831,1.1298831,1.1298831,,
,,,,,10/15/2018 9:06:16 PM,1.0488549,1.0488549,1.0488549,,
,,,,,10/15/2018 9:07:17 PM,1.2583028,1.2583028,1.2583028,,
,,,,,10/15/2018 9:08:18 PM,1.097366,1.097366,1.097366,,
,,,,,10/15/2018 9:09:18 PM,1.2221155,1.2221155,1.2221155,,
,,,,,10/15/2018 9:10:19 PM,1.0435807,1.0435807,1.0435807,,
,,,,,10/15/2018 9:11:19 PM,1.0617537,1.0617537,1.0617537,,
,,,,,10/15/2018 9:12:20 PM,1.2067392,1.2067392,1.2067392,,
,,,,,10/15/2018 9:13:21 PM,1.1346552,1.1346552,1.1346552,,
,,,,,10/15/2018 9:14:21 PM,1.087796,1.087796,1.087796,,
,,,,,10/15/2018 9:15:22 PM,1.4108959,1.4108959,1.4108959,,
,,,,,10/15/2018 9:16:22 PM,1.06152,1.06152,1.06152,,
,,,,,10/15/2018 9:17:23 PM,1.169894,1.169894,1.169894,,
,,,,,10/15/2018 9:18:24 PM,1.3422929,1.3422929,1.3422929,,
,,,,,10/15/2018 9:19:24 PM,1.0306801,1.0306801,1.0306801,,
,,,,,10/15/2018 9:20:25 PM,1.1565914,1.1565914,1.1565914,,
,,,,,10/15/2018 9:21:25 PM,1.5033547,1.5033547,1.5033547,,
,,,,,10/15/2018 9:22:26 PM,1.3817977,1.3817977,1.3817977,,
,,,,,10/15/2018 9:23:27 PM,1.2536028,1.2536028,1.2536028,,
,,,,,10/15/2018 9:24:27 PM,1.2694818,1.2694818,1.2694818,,
,,,,,10/15/2018 9:25:28 PM,1.1578848,1.1578848,1.1578848,,
,,,,,10/15/2018 9:26:29 PM,1.4653436,1.4653436,1.4653436,,
,,,,,10/15/2018 9:27:29 PM,1.3291818,1.3291818,1.3291818,,
,,,,,10/15/2018 9:28:30 PM,1.3015631,1.3015631,1.3015631,,
,,,,,10/15/2018 9:29:30 PM,1.1880031,1.1880031,1.1880031,,
,,,,,10/15/2018 9:30:31 PM,1.0887217,1.0887217,1.0887217,,
,,,,,10/15/2018 9:31:32 PM,1.3723378,1.3723378,1.3723378,,
,,,,,10/15/2018 9:32:32 PM,1.3652873,1.3652873,1.3652873,,
,,,,,10/15/2018 9:33:33 PM,1.1008147,1.1008147,1.1008147,,
,,,,,10/15/2018 9:34:33 PM,1.059824,1.059824,1.059824,,
,,,,,10/15/2018 9:35:34 PM,1.2356343,1.2356343,1.2356343,,
,,,,,10/15/2018 9:36:35 PM,1.3166511,1.3166511,1.3166511,,
,,,,,10/15/2018 9:38:36 PM,1.0639911,1.0639911,1.0639911,,
,,,,,10/15/2018 9:39:37 PM,1.0542024,1.0542024,1.0542024,,
,,,,,10/15/2018 9:40:37 PM,1.3678909,1.3678909,1.3678909,,
,,,,,10/15/2018 9:41:38 PM,1.2486564,1.2486564,1.2486564,,
,,,,,10/15/2018 9:42:39 PM,1.0592036,1.0592036,1.0592036,,
,,,,,10/15/2018 9:43:41 PM,1.1587182,1.1587182,1.1587182,,
,,,,,10/15/2018 9:44:40 PM,1.1237266,1.1237266,1.1237266,,
,,,,,10/15/2018 9:45:41 PM,1.3833225,1.3833225,1.3833225,,
,,,,,10/15/2018 9:46:41 PM,1.4661039,1.4661039,1.4661039,,
,,,,,10/15/2018 9:47:42 PM,1.4404413,1.4404413,1.4404413,,
,,,,,10/15/2018 9:48:43 PM,1.1595351,1.1595351,1.1595351,,
,,,,,10/15/2018 9:49:43 PM,1.0788931,1.0788931,1.0788931,,
,,,,,10/15/2018 9:50:44 PM,1.173075,1.173075,1.173075,,
,,,,,10/15/2018 9:51:45 PM,1.3411931,1.3411931,1.3411931,,
,,,,,10/15/2018 9:52:45 PM,1.1835035,1.1835035,1.1835035,,
,,,,,10/15/2018 9:53:46 PM,1.5551244,1.5551244,1.5551244,,
,,,,,10/15/2018 9:54:46 PM,1.1147232,1.1147232,1.1147232,,
,,,,,10/15/2018 9:55:47 PM,1.2008364,1.2008364,1.2008364,,
,,,,,10/15/2018 9:56:48 PM,1.4684892,1.4684892,1.4684892,,
,,,,,10/15/2018 9:57:48 PM,1.1631447,1.1631447,1.1631447,,
,,,,,10/15/2018 9:58:50 PM,1.4563229,1.4563229,1.4563229,,
